Product,Quantity,Description,Supplier,Cost (USD),Link
Nema 17,3,,Temu,21.16,https://www.temu.com/au/1pc--17-stepper-stepping--control-2--8-degree-0-9a-0--42mm-with-90cm-lead-cable-3d-printer-cnc-accessory-replacement-g-601100099700138.html?_oak_name_id=2005636212420523728&_oak_mp_inf=EKqLq6%2Bo1ogBGiA1ZDgzOTlmZjVhYTc0YzQ1YWY1NTFmNThiOGFkMTM3ZSCYk7ahvTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F819a4498-f333-49cc-991d-33619eadab33.jpg&spec_gallery_id=4149872340&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTA1NQ&_oak_gallery_order=1091145291%2C936476628%2C721162434%2C205066934&search_query=Nema%2017&search_key=Nema%2017&refer_page_el_sn=200049&ab_scene=1&preload_js=1&refer_page_name=search_result&refer_page_id=10009_1768791274153_1kl9xnuxnm&_x_sessn_id=620kilrurv
Arduino Uno,1,,Aliexpress,7.35,https://www.aliexpress.com/item/1005009166789162.html?spm=a2g0o.productlist.main.2.4b48H4BlH4BliQ&algo_pvid=46200a09-2805-4245-ab7e-5dab72879e19&algo_exp_id=46200a09-2805-4245-ab7e-5dab72879e19-1&pdp_ext_f=%7B%22order%22%3A%221541%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%217.52%211.50%21%21%2134.56%216.90%21%40210337c117687914991373901ea6ae%2112000048172545518%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838560&curPageLogUid=tjsaISsRPt8N&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009166789162%7C_p_origin_prod%3A
A4988,3,,Temu,6.04,https://www.temu.com/au/5pcs-a4988-stepper--module-with-heat-sink-compatible-for-3d-printer-cnc-machine-robotics-heavy-duty-stepper-driver-board-low-voltage-operation-36v-compatible-with--for-reprap-no-electronics-board-g-601100190015732.html?_oak_name_id=2537994467185831599&_oak_mp_inf=EPTBs9qo1ogBGiA3OTQ5MDQ3ODYwYTA0NTMxODJjMjA5NGViMTA4YzI1ZSC2jMahvTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F3baf134c-5f06-4e67-890c-4b2e39b976d7.jpg&spec_gallery_id=4618465222&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=OTUx&_oak_gallery_order=1472335960%2C638439335%2C1743083000%2C1908921223%2C321487646&search_query=a4988&search_key=a4988&refer_page_el_sn=200049&ab_scene=1&preload_js=1&_x_sessn_id=620kilrurv&refer_page_name=search_result&refer_page_id=10009_1768791577622_kirl4or9vr
PSU,1,,Aliexpress,19.71,https://www.aliexpress.com/item/1005008333292020.html?spm=a2g0o.productlist.main.11.45ee51f4QrCvyf&algo_pvid=63775553-d9ee-4d24-bace-af7483e89fa0&algo_exp_id=63775553-d9ee-4d24-bace-af7483e89fa0-10&pdp_ext_f=%7B%22order%22%3A%22232%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2110.45%211.50%21%21%216.90%210.99%21%4021030a6217687917155006121e92c4%2112000044629693574%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838568&curPageLogUid=3XLdhquhUHAm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008333292020%7C_p_origin_prod%3A
Spindle kit,1,,Aliexpress,57.46,https://www.aliexpress.com/item/1005010191382404.html?spm=a2g0o.productlist.main.6.4a29yvfjyvfj5o&algo_pvid=e9f71b2f-01d3-4cbd-a4a1-c692dc270d89&algo_exp_id=e9f71b2f-01d3-4cbd-a4a1-c692dc270d89-5&pdp_ext_f=%7B%22order%22%3A%228%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%21116.26%2144.06%21%21%21532.55%21201.81%21%40210311a017687919247722144ea0db%2112000051470805283%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838585&curPageLogUid=LtoxsOxznCte&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010191382404%7C_p_origin_prod%3A
Buck converter,1,,Aliexpress,2.75,https://www.aliexpress.com/item/1005007003796615.html?spm=a2g0o.productlist.main.36.ae99239cbbwiFO&aem_p4p_detail=202601212228251698038468878120000824046&algo_pvid=e99e244f-c19e-4cea-b5c9-f24ef3c0b312&algo_exp_id=e99e244f-c19e-4cea-b5c9-f24ef3c0b312-31&pdp_ext_f=%7B%22order%22%3A%2220%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.04%214.04%21%21%2118.84%2118.84%21%402103129f17690633055842563e22bb%2112000039018366003%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82e56353%3Bm03_new_user%3A-29895&curPageLogUid=gSlzuXtzWAvK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007003796615%7C_p_origin_prod%3A&search_p4p_id=202601212228251698038468878120000824046_8
Limit switch,,,,,
Z probe,,,,,
V bit,1,,Aliexpress,8.24,https://www.aliexpress.com/item/33058654975.html?spm=a2g0o.productlist.main.6.7192JBSMJBSM36&algo_pvid=228676f3-47f0-4579-9099-291c638ffaaf&algo_exp_id=228676f3-47f0-4579-9099-291c638ffaaf-5&pdp_ext_f=%7B%22order%22%3A%2262%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2112.06%211.50%21%21%217.94%210.99%21%40210328c017687923787564500e7cfc%2167467651128%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838599&curPageLogUid=Qey6XFCZCbFq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33058654975%7C_p_origin_prod%3A
Collets,1,,Aliexpress,5.89,https://www.aliexpress.com/item/1005007808859713.html?spm=a2g0o.productlist.main.3.149620Ph20PhZy&algo_pvid=7bfb9735-6d17-4af1-91e4-c80ced06bc52&algo_exp_id=7bfb9735-6d17-4af1-91e4-c80ced06bc52-2&pdp_ext_f=%7B%22order%22%3A%22683%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.40%211.50%21%21%2115.57%216.85%21%40210328db17687926008791257e8df9%2112000042277498285%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=pwjcIhmlvNUK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007808859713%7C_p_origin_prod%3A
